n, comparisons_quick, compartisons_merge, time_quick, time_merge
1000000, 35178312, 18674025, 141000.000000, 253000.000000
1000000, 35067573, 18674059, 143000.000000, 253000.000000
1000000, 34164347, 18674655, 141000.000000, 255000.000000
1000000, 35169817, 18673917, 141000.000000, 253000.000000
1000000, 34241340, 18674172, 140000.000000, 253000.000000
1000000, 35688467, 18673763, 141000.000000, 254000.000000
1000000, 34954222, 18675613, 141000.000000, 254000.000000
1000000, 34394872, 18673340, 140000.000000, 254000.000000
1000000, 34336878, 18674156, 142000.000000, 253000.000000
1000000, 34159379, 18674559, 142000.000000, 253000.000000
1000000, 34895256, 18674158, 140000.000000, 253000.000000
1000000, 35106891, 18674258, 141000.000000, 254000.000000
1000000, 34901183, 18674807, 142000.000000, 253000.000000
1000000, 34974729, 18673537, 143000.000000, 254000.000000
1000000, 35126991, 18673784, 141000.000000, 253000.000000
1000000, 34900813, 18673310, 140000.000000, 254000.000000
1000000, 34244723, 18674096, 141000.000000, 253000.000000
1000000, 34819428, 18674433, 141000.000000, 254000.000000
1000000, 36506238, 18673956, 143000.000000, 255000.000000
1000000, 36420285, 18673039, 143000.000000, 255000.000000
1000000, 35679256, 18675396, 144000.000000, 255000.000000
1000000, 36263142, 18674609, 142000.000000, 253000.000000
1000000, 35990739, 18674358, 142000.000000, 253000.000000
1000000, 35349987, 18674691, 139000.000000, 254000.000000
1000000, 36039189, 18674452, 141000.000000, 254000.000000
1000000, 35379445, 18673628, 141000.000000, 254000.000000
1000000, 35391866, 18674523, 142000.000000, 253000.000000
1000000, 35500122, 18673662, 140000.000000, 254000.000000
1000000, 35371645, 18674251, 142000.000000, 254000.000000
1000000, 35965610, 18674286, 141000.000000, 254000.000000
1000000, 34038015, 18673597, 140000.000000, 254000.000000
1000000, 35201738, 18673763, 141000.000000, 255000.000000
1000000, 37756894, 18673011, 145000.000000, 254000.000000
1000000, 36377136, 18673263, 144000.000000, 254000.000000
1000000, 35581467, 18674662, 141000.000000, 253000.000000
1000000, 34800273, 18674163, 141000.000000, 253000.000000
1000000, 34498322, 18674348, 140000.000000, 253000.000000
1000000, 34023075, 18674759, 141000.000000, 253000.000000
1000000, 35347120, 18673598, 140000.000000, 254000.000000
1000000, 35620809, 18674689, 144000.000000, 254000.000000
1000000, 35606340, 18674389, 143000.000000, 253000.000000
1000000, 35726855, 18674694, 141000.000000, 253000.000000
1000000, 35492459, 18673766, 142000.000000, 253000.000000
1000000, 34366960, 18674805, 140000.000000, 254000.000000
1000000, 36296656, 18674646, 143000.000000, 253000.000000
1000000, 35299623, 18673941, 141000.000000, 254000.000000
1000000, 34275037, 18674558, 141000.000000, 253000.000000
1000000, 35381069, 18673499, 140000.000000, 254000.000000
1000000, 34977841, 18674482, 141000.000000, 254000.000000
1000000, 35227361, 18673446, 144000.000000, 253000.000000
1000000, 36387361, 18673938, 142000.000000, 255000.000000
1000000, 34776291, 18673931, 142000.000000, 253000.000000
1000000, 34689987, 18674575, 141000.000000, 253000.000000
1000000, 34972600, 18673925, 142000.000000, 253000.000000
1000000, 34604544, 18674541, 140000.000000, 254000.000000
1000000, 35191923, 18674917, 142000.000000, 254000.000000
1000000, 35156533, 18674455, 142000.000000, 254000.000000
